,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Like
23,0.726,0.63,6,-5.395,0,0.0363,0.0332,0.0961,0.159,0.652,122.043,audio_features,3BTravl1t7M0FVggHVNyHw,spotify:track:3BTravl1t7M0FVggHVNyHw,https://api.spotify.com/v1/tracks/3BTravl1t7M0FVggHVNyHw,https://api.spotify.com/v1/audio-analysis/3BTravl1t7M0FVggHVNyHw,171680,4,0
24,0.529,0.521,5,-8.939,1,0.0351,0.147,0.0,0.105,0.177,80.012,audio_features,2u99urFeu2tunitweHGbwd,spotify:track:2u99urFeu2tunitweHGbwd,https://api.spotify.com/v1/tracks/2u99urFeu2tunitweHGbwd,https://api.spotify.com/v1/audio-analysis/2u99urFeu2tunitweHGbwd,290253,4,0
25,0.696,0.638,5,-9.107,0,0.0462,0.00566,0.000554,0.14,0.536,141.025,audio_features,3kPbQlpYdLyhrElgwzT9HR,spotify:track:3kPbQlpYdLyhrElgwzT9HR,https://api.spotify.com/v1/tracks/3kPbQlpYdLyhrElgwzT9HR,https://api.spotify.com/v1/audio-analysis/3kPbQlpYdLyhrElgwzT9HR,259947,4,0
26,0.582,0.564,8,-11.033,1,0.22,0.0276,0.0,0.143,0.254,88.023,audio_features,5izxQhtTj5wuRiNxcTBWAU,spotify:track:5izxQhtTj5wuRiNxcTBWAU,https://api.spotify.com/v1/tracks/5izxQhtTj5wuRiNxcTBWAU,https://api.spotify.com/v1/audio-analysis/5izxQhtTj5wuRiNxcTBWAU,257120,4,0
27,0.646,0.47,0,-10.697,0,0.0284,0.398,0.0295,0.11,0.653,113.994,audio_features,16gJmoOqRt2lKmlXtDpWgH,spotify:track:16gJmoOqRt2lKmlXtDpWgH,https://api.spotify.com/v1/tracks/16gJmoOqRt2lKmlXtDpWgH,https://api.spotify.com/v1/audio-analysis/16gJmoOqRt2lKmlXtDpWgH,258714,4,0
28,0.684,0.232,0,-13.249,1,0.0296,0.86,0.404,0.135,0.387,73.525,audio_features,02wNtFxlr9dLmZXKT5TIF5,spotify:track:02wNtFxlr9dLmZXKT5TIF5,https://api.spotify.com/v1/tracks/02wNtFxlr9dLmZXKT5TIF5,https://api.spotify.com/v1/audio-analysis/02wNtFxlr9dLmZXKT5TIF5,182900,4,0
29,0.666,0.558,2,-6.958,1,0.0352,0.00167,0.00877,0.225,0.961,145.101,audio_features,7LKF8xRf0o74B3r2Y41HzU,spotify:track:7LKF8xRf0o74B3r2Y41HzU,https://api.spotify.com/v1/tracks/7LKF8xRf0o74B3r2Y41HzU,https://api.spotify.com/v1/audio-analysis/7LKF8xRf0o74B3r2Y41HzU,46501,4,0
30,0.558,0.888,11,-4.403,0,0.0414,6.47e-05,2.7e-06,0.171,0.562,145.038,audio_features,7dbjO9uZ6UM31N3OFu2udq,spotify:track:7dbjO9uZ6UM31N3OFu2udq,https://api.spotify.com/v1/tracks/7dbjO9uZ6UM31N3OFu2udq,https://api.spotify.com/v1/audio-analysis/7dbjO9uZ6UM31N3OFu2udq,201727,4,0
31,0.716,0.74,7,-6.229,1,0.0278,0.00458,0.0,0.161,0.729,110.52,audio_features,6Ig2iLUX11ZNpI7EBCZqyt,spotify:track:6Ig2iLUX11ZNpI7EBCZqyt,https://api.spotify.com/v1/tracks/6Ig2iLUX11ZNpI7EBCZqyt,https://api.spotify.com/v1/audio-analysis/6Ig2iLUX11ZNpI7EBCZqyt,196728,4,0
32,0.683,0.804,5,-6.06,1,0.0685,0.0159,0.00132,0.429,0.634,120.002,audio_features,7iUVxquWTWpD2wlztBL3sS,spotify:track:7iUVxquWTWpD2wlztBL3sS,https://api.spotify.com/v1/tracks/7iUVxquWTWpD2wlztBL3sS,https://api.spotify.com/v1/audio-analysis/7iUVxquWTWpD2wlztBL3sS,181344,3,0
